CSV File,Question,Answer
question_answer_v2\Author_Call For Symposium Papers.csv,What is the main research area of the 'Signal Processing for Communications' symposium?,Signal Processing for Communications
question_answer_v2\Author_Call For Symposium Papers.csv,What is SAC in the context of the IEEE GLOBECOM 2023 Conference?,SAC refers to Selected Areas in Communications.
question_answer_v2\Author_Call For Symposium Papers.csv,Who is responsible for the SAC - Aerial Communications track at the conference?,"Kuljeet Kaur from Universit? du Qu?bec, Canada"
question_answer_v2\Author_Call For Symposium Papers.csv,"Where is Mona Jaber, the chair of the SAC - Backhaul and Fronthaul track, affiliated?","Queen Mary University of London, UK."
question_answer_v2\Author_Call For Symposium Papers.csv,What is the focus of Neeraj Kumar's SAC track at the conference?,Big Data.
question_answer_v2\Author_Call For Symposium Papers.csv,"Who are the co-chairs for the SAC - Cloud/Edge Computing, Networking, and Data Storage?","Ilhem Fajjari from Orange Innovation, France, and Paolo Amato from Micron, Italy."
question_answer_v2\Author_Call For Symposium Papers.csv,"Which university is Andrea Sciarrone, the chair of the SAC - E-Health track, associated with?","University of Genoa, Italy."
question_answer_v2\Author_Call For Symposium Papers.csv,Who is heading the SAC - Integrated Sensing and Communication track?,"Fan Liu from Southern University of Science and Technology (SUSTech), PRC."
question_answer_v2\Author_Call For Symposium Papers.csv,"Which institutions are Yansha Deng and Jihong Park, the chairs of the SAC - Machine Learning for Communications track, affiliated with?","King's College London, UK and Deakin University, Australia, respectively."
question_answer_v2\Author_Call For Symposium Papers.csv,"Who is the chair of the SAC - Molecular, Biological and Multi-Scale Communications track?","Masoumeh Nasiri-Kenari from Sharif University of Technology, Iran."
question_answer_v2\Author_Call For Symposium Papers.csv,Who are the chairs for the SAC - Quantum Communications and Computing track?,"Gui-Lu Long from Tsinghua University, PRC, and Michael Ng from University of Southampton, UK."
question_answer_v2\Author_Call For Symposium Papers.csv,"Which institution is Alessio Zappone, the chair of SAC - Reconfigurable Intelligent Surfaces, affiliated with?","University of Cassino and Southern Lazio, Italy."
question_answer_v2\Author_Call For Symposium Papers.csv,"Where is Peng Li, the chair of SAC - Satellite and Space Communications, from?","University of Aizu, Japan."
question_answer_v2\Author_Call For Symposium Papers.csv,Who is the chair of the SAC - Smart Grid Communications track?,"Biplab Sikdar from NUS, Singapore."
question_answer_v2\Author_Call For Symposium Papers.csv,"Which university is Burak Kantarci, the chair of SAC - Social Networks, affiliated with?","University of Ottawa, Canada."
question_answer_v2\Author_Call For Symposium Papers.csv,Who is responsible for the SAC - Terahertz Communications track?,"Chong Han from Shanghai Jiao Tong University, PRC."
question_answer_v2\Author_Call For Symposium Papers.csv,Where will the accepted and presented technical Symposium papers of IEEE GLOBECOM 2023 be published?,In the IEEE GLOBECOM 2023 Conference Proceedings and submitted to IEEE Xplore's
question_answer_v2\Author_Call For Symposium Papers.csv,What is the IEEE's policy regarding Symposium papers not presented at the conference?,"The IEEE reserves the right to exclude a paper from distribution after the conference, including its removal from IEEE Xplore, if the paper is not presented at the conference."
question_answer_v2\Author_Call For Symposium Papers.csv,What are the criteria for reviewing papers for IEEE GLOBECOM 2023?,Papers are reviewed on the basis that they do not contain plagiarized material and have not been submitted to any other conference at the same time (double submission).
question_answer_v2\Author_Call For Symposium Papers.csv,What action will IEEE Communications Society take against authors engaging in plagiarism or double submission?,The IEEE Communications Society will take action against any author who engages in either plagiarism or double submission practices.
question_answer_v2\Author_Call For Symposium Papers.csv,What are the requirements for a paper to be published in the IEEE GLOBECOM 2023 Conference Proceedings and IEEE Xplore?,An author of an accepted paper must register for the conference at the FULL or LIMITED rate and the paper must be presented by an author of that paper at the conference unless the TPC Chair grants permission for a substitute presenter.
question_answer_v2\Author_Call For Symposium Papers.csv,What is the maximum number of papers that can be covered by a single FULL or LIMITED registration?,One FULL or LIMITED registration is valid for up to 3 papers.
question_answer_v2\Author_Call For Symposium Papers.csv,What are the author's responsibilities during the initial paper submission process via EDAS?,"Authors must ensure that the author list and paper title on the submitted PDF file exactly match the author list and paper title on the EDAS registration page, which must include all co-authors."
question_answer_v2\Author_Call For Symposium Papers.csv,What is the page length limit for all initial submissions for review?,The page length limit for all initial submissions for review is six printed pages (10-point font).
question_answer_v2\Author_Call For Symposium Papers.csv,What is the maximum length for final submissions of accepted papers?,"Final submissions of accepted papers must be a maximum of six printed pages (10-point font) including figures, with the option to include one additional page for a fee."
question_answer_v2\Author_Call For Symposium Papers.csv,What is the charge for including an additional page (the 7th page) in the final submission?,The charge for the additional page (the 7th page) in the final submission is US$100.
question_answer_v2\Author_Call For Symposium Papers.csv,How should final papers be submitted to?,All final papers must be submitted to the IEEE Conference eXpress website.
question_answer_v2\Author_Call For Symposium Papers.csv,What templates can be used for preparing manuscripts?,"Manuscripts can be prepared using the Standard IEEE conference templates for LaTeX formats, or Microsoft Word templates in A4 or US letter sizes."
question_answer_v2\Author_Call For Tutorial Proposals.csv,What is the current status of the tutorial proposal submission for IEEE GLOBECOM 2023?,Tutorial proposal submission is closed.
question_answer_v2\Author_Call For Tutorial Proposals.csv,When will acceptance notifications for tutorial proposals be sent?,In early July.
question_answer_v2\Author_Call For Tutorial Proposals.csv,Who are the Tutorial Program Co-Chairs for IEEE GLOBECOM 2023?,"Octavia A. Dobre from Memorial University, Canada, and Rolland Vida from Budapest University of Technology and Economics, Hungary."
question_answer_v2\Author_Call For Tutorial Proposals.csv,What is the focus of the tutorials at IEEE GLOBECOM 2023?,Half-day tutorial proposals on new and emerging topics within the scope of communications and networking.
question_answer_v2\Author_Call For Tutorial Proposals.csv,What are the submission guidelines for tutorial proposals?,"Proposals should be submitted in a PDF file, not exceeding 5 pages, for review via EDAS."
question_answer_v2\Author_Call For Tutorial Proposals.csv,When will the selected tutorials be held during the conference?,On the first and the last day of the conference.
question_answer_v2\Author_Call For Tutorial Proposals.csv,What should be included in the tutorial proposals?,"Abstract, objectives and motivation, intended audience, presenter biographies, topic descriptions, tutorial content outline, possibility of virtual presentation, past experience of the speakers, previous tutorial experience, and information about similar tutorials in recent ICC & Globecom."
question_answer_v2\Author_Call For Tutorial Proposals.csv,What information about the tutorial presenters needs to be included in the proposal?,Name and a short biography of each tutorial presenter.
question_answer_v2\Author_Call For Tutorial Proposals.csv,How should past experience and previous tutorial experience of the speakers be described in the proposal?,"A description of the past/relevant experience of the speaker(s) on the topic of the tutorial and a description of previous tutorial experience of the speaker(s), including past versions of the tutorial."
question_answer_v2\Author_Call For Tutorial Proposals.csv,What specific comparison needs to be stated in the proposal regarding similar tutorials offered in recent conferences?,State whether a similar tutorial has been offered in recent ICC & Globecom (last two years) and how the current tutorial differs.
question_answer_v2\Author_Call For Workshop Papers.csv,What is the aim of the conference workshops at IEEE GLOBECOM 2023?,To emphasize emerging topics that are not specifically covered in the main symposia.
question_answer_v2\Author_Call For Workshop Papers.csv,What can be included in each conference workshop at IEEE GLOBECOM 2023?,"A mix of regular papers, invited presentations, keynotes, and panels that encourage active discussion."
question_answer_v2\Author_Call For Workshop Papers.csv,Who are the IEEE GLOBECOM 2023 Workshops Chairs?,"Christos Verikoukis, University of Patras, Greece; Guangyi Liu, China Mobile, China; Yacine Ghamri-Doudane, University of La Rochelle, France."
question_answer_v2\Author_Call For Workshop Papers.csv,What is the final deadline for workshop paper submission at IEEE GLOBECOM 2023?,12 August 2023 (FINAL EXTENSION).
question_answer_v2\Author_Call For Workshop Papers.csv,When will workshops paper acceptance notifications be sent for IEEE GLOBECOM 2023 workshops?,15 September 2023.
question_answer_v2\Author_Call For Workshop Papers.csv,What is the deadline for submitting camera-ready workshops papers for IEEE GLOBECOM 2023 workshops?,1 October 2023.
question_answer_v2\Author_Call For Workshop Papers.csv,When is the accepted author registration deadline for IEEE GLOBECOM 2023 workshops?,1 October 2023.
question_answer_v2\Author_Call For Workshop Papers.csv,Where must all workshops papers for IEEE GLOBECOM 2023 workshops be submitted?,To the official GLOBECOM 2023 submission system.
question_answer_v2\Author_Call For Workshop Papers.csv,What are the names of the workshops featured at IEEE GLOBECOM 2023?,"WS01 to WS28, including titles like '4th Workshop on Emerging Topics in 6G Communications', 'Cellular UAV and Satellite Communications - Third Edition', 'Artificial Intelligence Driven Integrated Satellite-Terrestrial Network', etc."
question_answer_v2\Author_Call For Workshop Papers.csv,What is the IEEE's policy regarding papers not presented at the conference?,The IEEE reserves the right to exclude a paper from distribution if it is not presented at the conference.
question_answer_v2\Author_Call For Workshop Papers.csv,What is required for a workshop paper to be published in the IEEE GLOBECOM 2023 Conference Proceedings and IEEE Xplore,"An author must register at the 'Workshop Registration' rate, and the paper must be presented by an author at the conference."
question_answer_v2\Author_Call For Workshop Papers.csv,What is the maximum number of workshop papers covered by one registration at IEEE GLOBECOM 2023?,One registration is valid for up to 3 papers.
question_answer_v2\Author_Call For Workshop Papers.csv,What are the authors' responsibilities during the initial workshop paper submission process for IEEE GLOBECOM 2023?,Authors must ensure that the author list and paper title on the submitted PDF file exactly match the author list and paper title on the paper registration page.
question_answer_v2\Author_Call For Workshop Papers.csv,Does the author list for the workshop final manuscript of IEEE GLOBECOM 2023 have the ability to be changed?,"No, the author list of an accepted paper cannot be changed in the final manuscript."
question_answer_v2\Author_Call For Workshop Papers.csv,What is the page length limit for initial submissions for review at IEEE GLOBECOM 2023?,Six printed pages (10-point font).
question_answer_v2\Author_Call For Workshop Papers.csv,What is the maximum workshop paper length for final submissions of accepted papers at IEEE GLOBECOM 2023?,"Six printed pages (10-point font) including figures, with the option to include one additional page."
question_answer_v2\Author_Call For Workshop Papers.csv,What is the charge for including an additional page in final workshop submissions at IEEE GLOBECOM 2023?,US$100 for each additional page (the 7th page).
question_answer_v2\Author_Call For Workshop Papers.csv,Where must final workshop papers for IEEE GLOBECOM 2023 be submitted?,To the IEEE Conference eXpress website.
question_answer_v2\Author_Call For Workshop Papers.csv,What templates can be used for preparing workshop manuscripts for IEEE GLOBECOM 2023?,"Standard IEEE conference templates for LaTeX formats, or Microsoft Word templates in A4 or US letter sizes."
question_answer_v2\Author_Call For Workshop Proposals.csv,Who are the Workshop Program Co-Chairs for the 2023 IEEE GLOBECOM?,"Yacine Ghamri-Doudane from the University of La Rochelle, France; Guanyi Liu from China Mobile, China; and Christos Verikoukis from ISI/ATH and University of Patras, Greece."
question_answer_v2\Author_Call For Workshop Proposals.csv,What types of sessions will the conference offer?,"Original paper presentations, tutorials, workshops, industry program with keynotes and panels, business and industry panels, and technological exhibits."
question_answer_v2\Author_Call For Workshop Proposals.csv,What is the aim of the conference workshops?,"To emphasize emerging topics not specifically covered in the main symposia and include a mix of regular papers, invited presentations, keynotes, and panels."
question_answer_v2\Author_Call For Workshop Proposals.csv,What should the workshop proposals include?,"Title, technical issues description, organizer information, biographies of organizers, names of potential participants, workshop format, draft Call for Papers, publicity and promotion plan, potential website address, and past workshop information, if applicable."
question_answer_v2\Author_Call For Workshop Proposals.csv,How should workshop proposals be submitted?,As a single PDF file online via EDAS.
question_answer_v2\Author_Call For Workshop Proposals.csv,What are the key dates related to the workshop proposals?,"Proposal Submission Deadline: 15 March 2023, Acceptance Notification: 15 April 2023, CFP for Web Posting: 25 April 2023, Workshop Paper Submission Deadline: 15 July 2023, Paper Acceptance Notification: 1 September 2023, Camera Ready: 1 October 2023."
question_answer_v2\Author_Call For Workshop Proposals.csv,What is the duration option for workshops?,Half-day or full-day.
question_answer_v2\Author_Call For Workshop Proposals.csv,When can the workshops be held?,"Sunday, December 4, or Thursday, December 8, 2023."
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,What is the first step to prepare a final Symposium paper for the conference after registration and payment?,Prepare the paper in the IEEE double-column format using IEEE Conference Proceeding templates.
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,How many final Symposium  papers can one registration upload if the registrant is an author on them?,Up to three final papers.
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,Is it permissible to use a Symposium registration confirmation code for a paper not authored by the registrant?,"No, it's considered a serious offense."
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,What formatting tool should be used to ensure the Symposium  paper is compliant for submission?,Use IEEE PDF eXpress.
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,What is the conference ID required to create an IEEE PDF eXpress account?,54140X.
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,What should authors not add to their final Symposium paper submission?,"Any page numbering, header, or footer."
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,What is the website for uploading the final paper for GLOBECOM 2023?,https://edas.info/N30585
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,What are the requirements for uploading the final Symposium  paper?,Registration confirmation code and EDAS ID.
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,How should LaTeX users prepare their files for IEEE PDF eXpress?,"Create a zip file including dvi and eps figure files, then upload it for conversion."
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,What is the last step in the Symposium paper submission process after uploading the paper?,Submit the IEEE electronic copyright form.
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,What is the consequence if a Symposium  paper is not presented at the conference?,IEEE reserves the right to exclude the paper from inclusion in IEEEXplore.
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,What should be the first line in a LaTeX source file for IEEEtran class?,"\documentclass[10pt,conference]{IEEEtran}"
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,How is the author affiliation listed in IEEE conferences compared to IEEE transactions?,"In IEEE conferences, the author affiliation is listed under the author's name."
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,What is the purpose of using IEEE PDF eXpress for the Symposium final manuscript?,To check if the PDF file is Xplore-compliant and to convert source files into a compliant PDF file.
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,Is the 'Approve for collection' option in IEEE PDF eXpress usable for the Symposium final submission?,"No, do not use 'Approve for collection' in PDF eXpress for the final submission."
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,What are the general formatting instructions for the Symposium final paper?,The paper should be prepared in IEEE double-column format.
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,What information is required for LaTeX users to convert their files on IEEE PDF eXpress?,A zip file with dvi and eps figure files.
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,How should MS Word users prepare their files for IEEE PDF eXpress?,Upload the Word file to the site for conversion into a compliant PDF file.
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,What is the format for the final Symposium  paper in terms of text size and document class?,10pt text size in the IEEEtran conference class.
question_answer_v2\Author_instruction For Symposium Final Paper Upload.csv,Are formatting checks enforced during the submission phase for Symposium final manuscripts?,"Yes, formatting checks are enforced."
question_answer_v2\Author_Instructions For Symposium And Workshop Presenters.csv,What was the acceptance rate for papers submitted to Technical Symposia and Workshops at IEEE GLOBECOM 2023?,Less than 40%.
question_answer_v2\Author_Instructions For Symposium And Workshop Presenters.csv,What are the two formats for presenting accepted papers at the conference?,Lecture-style and interactive-style.
question_answer_v2\Author_Instructions For Symposium And Workshop Presenters.csv,Is there any quality distinction between lecture-style and interactive-style presentations?,"No, there is no quality distinction between the two presentation formats."
